titulo,tipo,artista,fecha-lanzamiento,generos
¡Indomable!,Album,Bronco,1986,"latin, cumbia, norteño"
Cuatro tigres,EP,Chicha Libre,2013-04-20,"rock, latin, cumbia"
Eroticorythmotropicalomanie Vol.1,Album,Orchestre Los Hermanos Martelo,,"latin, rumba, cumbia"
La reina de todas las fiestas,Album,Chico Trujillo,2015-06-23,"latin, cumbia, pachanga"
Down in the Basement,EP,The Mauskovic Dance Band,2018-03-16,"cumbia, space disco"
La Ciénaga,Album,La Flör del Otrö,2017-03,"latin, rumba, cumbia"
"Street Music Of Panama - Cumbias, Tamboritos, Mejoranas",Album,Various Artists,1985,"folk, latin, cumbia"
Mambo Cósmico,Album,Sonido Gallo Negro,2017-09-22,"instrumental, psychedelic, cumbia"
Rock Is Dead: Long Live Paper and Scissors,Album,Tropa Magica,2015-04-23,"punk, psychedelic, cumbia"
Mambo mundial,Album,Chico Trujillo,2019-09-13,"latin, cumbia, pachanga"
WOO HAH EN DO MENOR,Single,Captain Cumbia,2019-11-13,"latin, western, cumbia"
Toño García: El último cacique,Album,Gaiteros de San Jacinto,2019-11-22,"electronic, dub, cumbia"
Porrovía,Single,Frente Cumbiero,2020-01-31,"latin, cumbia, porro"
Negra Linda,Album,Sonora Casino,1967,"latin, cumbia, descarga"
La Gitana Enamorada,Album,La Super Banda de Don Filemón,1978,"latin, cumbia, guaracha"
Golpiando,Album,Various Artists,1973,"latin, cumbia, vallenato"
¡¡ Campeones !!,Album,Los Girasoles,1975,"salsa, latin, cumbia"
Cuando yo diga / El Profesor rui rua,Single,Los Casinos de Venezuela,1982,"latin, cumbia, porro"
Huayayay / Quédate un poco más,Single,Grupo Fantasma,1986,"latin, cumbia, vallenato"
Las Mellas (Cerrero dub mix),Single,Gaiteros de San Jacinto,2020-02-13,"electronic, dub, cumbia"
Lo mejor de La Sonora Dinamita,Album,La Sonora Dinamita,,"latin, cumbia, porro"
Más tropical / Que te pasa,Single,Quitapenas,2012-02-12,"cumbia, soukous, champeta"
El sonido selvático,Album,Los Mirlos,1973,"latin, cumbia, guaracha"
La tumbadora,Album,Jazmín,2002,"electronic, latin, cumbia"
Aguzante,Album,Carlos Miranda Y El Supercombo Angelito,,"salsa, latin, cumbia"
Pa' mi tierra,Album,Agrupación Bellking's De Piura,1986,"salsa, latin, cumbia"
Salsa colombiana,Album,Various Artists,1994,"salsa, latin, cumbia"
Kumbias Gauchito,EP,Chancha Vía Circuito,2007,"electronic, latin, cumbia"
Lo mejor de Los Galleros,Album,Los Galleros,1971,"latin, cumbia, porro"
Mi cucú,Single,Sonora Dinamita,1988,"pop, latin, cumbia"
Cumbia amazónica,Album,Los Mirlos,2014-12-08,"psychedelic, latin, cumbia"
Utopïa,EP,La Flör del Otrö,2015-05,"latin, rumba, cumbia"
La danza de los mirlos,Album,Afrosound,1973-09-03,"jazz, latin, cumbia"
The Exciting Tropical Dance Rhythms of Colombia,Album,Lucho Bermúdez y su Orquesta,,"latin, cumbia, porro"
Sendero místico,Album,Sonido Gallo Negro,2014-05-23,"instrumental, psychedelic, cumbia"
Me le fugué a la candela,Album,Joe Arroyo y La Verdad,1985,"salsa, latin, cumbia"
En acción,Album,Joe Arroyo y su Orquesta La Verdad,1989,"salsa, latin, cumbia"
Marcando terreno,Album,Joe Arroyo,2001,"salsa, latin, cumbia"
La Churumbela,Album,Vox Urbana,2013-08-27,"latin, cumbia, vallenato"
El super congo: La guerra de los callados,Album,Joe Arroyo,1991,"salsa, latin, cumbia"
De México a Paraguay,Album,Tlen Huicani,2004,"latin, cumbia, danzón"
Operación Damas Gratis,Album,Damas Gratis,2002,"latin, cumbia villera"
Bailando y gozando con 16 éxitos tropicales,Album,Various Artists,1985,"salsa, latin, cumbia"
Orquesta Los Ramblers de Nicaragua,Album,Orquesta Los Ramblers de Nicaragua,1990,"latin, merengue, cumbia"
Bubbling,Album,Mawimbi,2021-06-05,"electro, afrobeat, cumbia"
Lo que el pueblo quiere bailar,Album,Los 50 de Joselito,2000,"latin, merengue, cumbia"
Pachuco,Album,Jonny Chingas,1980,"funk, latin, cumbia"
A Bailar,Album,Los Moros,1987,"pop, latin, cumbia"
Quiéreme,Album,Mónica Ergueta,1996,"latin, merengue, cumbia"
Bailando con...Los Yungas,Album,Los Yungas,1975,"psychedelic, latin, cumbia"
Junteu-vos,Album,El Diluvi,2019-04-12,"reggae, latin, cumbia"
Jallalla,Album,Lagartijeando,2019-06-07,"electronic, latin, cumbia"
GMC - L.E.D.A. [DANZA05],EP,GMC,2020-09-02,"electronic, folk, cumbia"
Fuego en mi mente,Album,Joe Arroyo y La Verdad,1989,"salsa, latin, cumbia"
Los Sideral's,Album,Los Siderals,1968,"rock, latin, cumbia"
Los Admirados De La Nueva Crema,Album,Chacalón y la Nueva Crema,1983,"latin, cumbia, guaracha"
Vol. 03: Soy pescador,Album,Agua Marina,1988,"salsa, latin, cumbia"
Tu eres mi pena,Album,Los Barón de Apodaca,1981,"latin, cumbia, ranchera"
No pido revancha / Noches felices,Single,Palo Santo,1989,"salsa, latin, cumbia"
La guagua / Magdalena,Single,El Combo Candela,1984,"latin, cumbia, porro"
Sorbito de champagne / Increible,Single,Pastor López,1983,"salsa, latin, cumbia"
La ultima primavera,Single,La Makina del Ritmo,,"psychedelic rock, cumbia"
Tumbias Electrónicas,Album,Turbo Sonidero Futuristico,2013,"electronic, latin, cumbia"
Busco un amor / Negrita caridad,Single,Combo del Caribe,1983,"latin, cumbia, porro"
Nikan,Album,Mas Aya,2017-05-12,"electronic, dance, cumbia"
El amor nos mantendrá juntos,Album,Priscila y sus Balas de Plata,2000,"latin, cumbia, tejano"
Corazón de cristal,Album,Priscila y sus Balas de Plata,1999,"latin, cumbia, tejano"
Lucho Argaín y La Sonora Dinamita,Album,Lucho Argaín,1980,"salsa, latin, cumbia"
¡Kirbia!,EP,Louie Zong,2022-01-16,"instrumental, folk, cumbia"
Somos nosotros los buenos,Album,Damas Gratis,2016-12-09,"latin, cumbia villera"
Sin Remedio,Album,Damas Gratis,2005,"latin, cumbia villera"
Esquivando el éxito,Album,Damas Gratis,2011-12-01,"latin, cumbia villera"
El amor no es para los débiles,Album,Bareto,2022-02-25,"psychedelic, latin, cumbia"
Inéditos,Album,Damas Gratis,2019-01-19,"latin, cumbia villera"
Killa Kumbias,Album,Turbo Sonidero,2016-05-02,"electronic, latin, cumbia"
El bonaerense,Album,Damas Gratis,,"latin, cumbia villera"
La gota que rebasó el vaso,Album,Damas Gratis,2008-12-09,"latin, cumbia villera"
Entre a mi mundo,Album,Selena,1992-05-06,"electronic, 90s, spanish, latin, cumbia, tejano, cumbia mexicana"
Salvadora Robot,Album,Meridian Brothers,2014-06-09,"psychedelic, latin, cumbia, art pop, digital cumbia, tropicanibalismo"
Levántame... con estas cumbias,Album,Eusebio y Su Banjo,1983,"psychedelic, samba, latin, cumbia, bolero, guaracha, cumbia peruana"
Ven Conmigo,Album,Selena,1991-07-01,"pop, 90s, spanish, latin, cumbia, ranchera, tejano, cumbia mexicana"
Por el mundo,Album,Bronco,1992,"ballad, latin, cumbia, norteño"
Movimiento popular,Album,Grupo Fantasma,2004,"rock, reggae, latin, cumbia"
The Rough Guide to Cumbia,Album,Various Artists,2000,"latin, rough guide, cumbia"
Marcando la distancia,Album,Manolito y su Trabuco,1998,"salsa, latin, cumbia, timba"
Tropicalisimo,Album,Peregoyo y su Combo Vacaná,1989,"salsa, latin, cumbia, porro"
Chicano Zen,Album,Charanga Cakewalk,2006-03-26,"rock, latin, cumbia, tejano"
Se rompieron los termómetros,Album,Manolito y su Trabuco,2002,"latin, cumbia, bolero, guaracha"
Sonidos Gold,Album,Grupo Fantasma,2008-06-17,"funk, salsa, latin, cumbia"
Kumbia Nena!,Album,Kumbia Queers,2007,"punk, punk rock, cumbia"
Trans Europe Express,Single,Señor Coconut y su conjunto,2000-07-20,"electronic, latin, cumbia, mambo"
"Portugal deluxe, volume 2: Um cocktail swingante",Album,Various Artists,1998,"pop, samba, latin, cumbia"
Comes Alive,Album,Grupo Fantasma,2006,"rock, salsa, latin, cumbia"
Como nunca,Album,Hometown Boys,1998-05-11,"latin, cumbia, ranchera, tejano"
Reir por no llorar,Album,Agrupación Mamanis,1996,"rock, pop, reggae, cumbia"
Sergio el bailador,Album,Bronco,1985,"latin, cumbia, pachanga, tejano"
New York Tropical,Album,Various Artists,2010-11-09,"electronic, house, latin, cumbia"
Nueva Cumbia Argentina: The Buenos Aires Implosion,EP,Sonido Martines,2009-03-20,"electronic, latin, dancehall, cumbia"
El campeón,Album,Joe Arroyo y La Verdad,1982,"salsa, latin, cumbia, guaracha"
The Rough Guide to Cumbia,Album,Various Artists,2013-02-26,"latin, rough guide, cumbia"
Lo esencial de las estrellas de La hora azul,Album,Various Artists,2008,"latin, cumbia, bolero, danzón"
Puentera,Album,Sara Hebe,2012-04-24,"punk, pop punk, cumbia"
Desesperanza,Album,Meridian Brothers,2012-09-24,"cumbia, colombian experimental tropical"
Mi buenaventura,Album,Peregoyo y su Combo Vacaná,,"latin, cumbia, descarga, plena"
Cum Cumbele,Album,Michi Sarmiento y su Combo Bravo,1970,"latin, cumbia, descarga, guaguancó"
"Bone Idol, Volume 1",Album,Ashley Slater,2015-04-01,"jazz, reggae, salsa, cumbia"
M.N.D.,EP,M.A.K.U. Soundsystem,2012-11-15,"punk, psychedelic, afrobeat, cumbia"
Con sindrome de abstinencia,Album,Los Gedes,2002,"rock, ska, latin, cumbia"
La caravana mágica,Album,Gustavo Cordera,2010,"cumbia, caravana, cordera, gustavo"
De la cabeza con Bersuit Vergarabat,Album,Bersuit Vergarabat,2002,"rock, latin, candombe, cumbia"
Vamos Bien,Album,M.A.K.U. Soundsystem,2010-08-12,"punk, psychedelic, afrobeat, cumbia"
Hip Hop En Cumbia EP,EP,Quantic Y Su Conjunto Los Míticos Del Ritmo,2011-06-13,"hip hop, latin, cumbia"
Alegrando el Alma,Album,Ecuador Manta,2008-11-25,"latin, cumbia, música criolla"
Con gusto y gana,Album,Joe Arroyo y La Verdad,1981,"salsa, latin, merengue, cumbia"
Echos Hypnotiques,Album,T.P. Orchestre Poly-Rythmo,2009-11-10,"psychedelic, latin, afrobeat, cumbia"
La hija del loco,Album,Sara Hebe,2009-06-01,"punk, pop punk, cumbia"
Bersa Discos # 2,EP,Various Artists,2008,"electronic, reggae, latin, cumbia"
La Dame Blanche 2,Album,La Dame Blanche,2016-05-13,"hip hop, reggae, cumbia"
American Drift,Album,Elysia Crampton,2015-08-07,"electronic, experimental, latin, cumbia"
Mordiendo,Album,Tremenda Jauría,2016-03-05,"dubstep, punk, reggaeton, cumbia"
EP2,EP,Gypsy Ska Orquesta,2015-09-03,"punk, ska, swing, cumbia"
EP1,EP,Gypsy Ska Orquesta,2013-01-01,"punk, ska, swing, cumbia"
Joelma,Album,Joelma,2016-04-22,"latin, merengue, cumbia, forró"
Colectivo vacío,Album,Sara Hebe,2015-10-22,"punk, pop punk, cumbia"
More Madhur & Morgana,Other,The Phantom Four,2013-06-14,"rock, instrumental, afrobeat, cumbia"
Candeleros EP,EP,Candeleros,2017-09-06,"salsa, merengue, cumbia, champeta"
La cumbia del Chinche / El Boleta,Single,Candeleros,2018-12-17,"fusion, psychedelic, merengue, cumbia"
Candeleros en vivo (Sala Juglar),Album,Candeleros,2016-04-11,"salsa, merengue, cumbia, champeta"
Ojos,Album,Mente Orgánica,2018-10-26,"downtempo, folk, electronica, cumbia"
La porra caimanera,Album,Policarpo Calle y Su Conjunto,1979,"latin, cumbia, porro, guaguancó"
La negra candelosa,Album,Policarpo Calle y los Tremendos,1978,"latin, cumbia, vallenato, porro"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
LA HISTORIA DEL BOXEO,Album,jingle django,2019-12-06,"swing, klezmer, rumba, cumbia"
Folcore 103 - Selected by Qechuaboi,Album,Qechuaboi,2019-01-31,"dub, latin, cumbia, moombahton"
Tengo un sueño qe no me deja dormir,Single,Qechuaboi,2015-12-30,"electronic, dance, latin, cumbia"
Echando un pie sin complejos,Album,Los Satélites,1974,"salsa, latin, cumbia, bolero"
En orbita,Album,Los Destellos,1969,"boogaloo, guajira, cumbia peruana"
4 Colosos de Billo I,Album,Billo's Caracas Boys,1995,"latin, merengue, cumbia, pachanga"
Tributaries: A Remix Album,Album,El Búho,2018-11-09,"electronic, electronica, folktronica, cumbia"
Gran Baile...! Con Los Caribes,Album,Los Caribes,1988,"salsa, latin, cumbia, porro"
Tierra De King Coya,Album,King Coya,2018-06-15,"electronic, dubstep, latin, cumbia"
De sur a norte,Album,Los Vásquez,2014,"pop, ballad, latin, cumbia"
DJ Bongohead presents...Big Box of Afrosound,Album,Various Artists,2015,"salsa, latin, cumbia, guaracha"
Candeleros EP,EP,Candeleros,2017-09-06,"salsa, merengue, cumbia, champeta"
Fils d' Abraham,Album,Zion Dirty Sound,2013-07-28,"reggae, dub, latin, cumbia"
Ojos,Album,Mente Orgánica,2018-10-26,"downtempo, folk, electronica, cumbia"
A Bailar Con La Orquesta Los Caribes,Album,Los Caribes,1976,"salsa, latin, merengue, cumbia"
Gran Baile...! Con Los Caribes,Album,Los Caribes,1988,"salsa, latin, cumbia, porro"
"Libérate, Volumen 1 & 2",Album,YANGA,2019-02-01,"dance, reggae, latin, cumbia"
En Orbita EP: The Remixes,EP,Superpendejos,2016-09-28,"electronic, house, latin, cumbia"
Mordiendo,Album,Tremenda Jauría,2016-03-05,"dubstep, punk, reggaeton, cumbia"
Cold Fever,Single,Matías Aguayo & the Desdemonas,2017-09-01,"electronic, house, techno, cumbia"
De mar y río remixes vol. 1,EP,Canalón de Timbiquí,2019-07-12,"electronic, downtempo, dub, cumbia"
Chineke Me,Single,Sonikgroove,2017-05-31,"dub, latin, folktronica, cumbia"
Ofelia (Cerrero dub mix),Single,Sexteto Tabalá,2019-03-29,"electronic, dub, cumbia, currulao"
Tirense con la escoba,Album,Los Mirlos,1976,"psychedelic, salsa, latin, cumbia"
Violeta Perro,Single,Sara Hebe,2017-10-02,"punk, pop punk, cumbia"
La noche,Single,Sara Hebe,2018-08,"punk, pop punk, cumbia"
El Sonido Exótico de Phantom Four,Album,The Phantom Four,2019,"rock, instrumental, afrobeat, cumbia"
Aguas Frías,Album,Kiko Villamizar,2017-04-14,"latin, merengue, cumbia, porro"
La Remolacha,Album,Kiko Villamizar,2015-01-13,"salsa, latin, cumbia, porro"
¡Tremendo Ritmo!,Album,Los Orientales de Paramonga,1973,"psychedelic, latin, cumbia, guaracha"
Los Imperial En Caracas,Album,Los Imperials En Caracas,,"salsa, latin, cumbia, guaracha"
Bugs Bunny,Single,Los Bitchos,2018-08-15,"experimental, indie pop, cumbia"
Trapdoor,Single,Los Bitchos,2018-03-01,"experimental, indie pop, cumbia"
Musique Populaire de Colombie,Album,La Máxima de Mañungo,1991,"latin, merengue, cumbia, porro"
Ramas,Album,El Búho,2020-03-27,"electronic, electronica, folktronica, cumbia"
Sabrosa salsa,Album,Pete Vicentini,1977,"salsa, latin, cumbia, guaguancó"
LA HISTORIA DEL BOXEO,Album,jingle django,2019-12-06,"swing, klezmer, rumba, cumbia"
Yemaya,Single,Mexican Institute of Sound,2020-06-26,"electronic, electronica, latin, cumbia"
La Sonora Cienaguera,Album,La Sonora Cienaguera,1962,"latin, merengue, cumbia, porro"
Atemporal,EP,KR∆UT,2020-06-15,"electronic, dance, electro, cumbia"
Cumbéalo // Tropidelico,Single,Superfónicos,2019-05-10,"indie rock, funk, cumbia"
La Maltratada,Single,La Dame Blanche,2020-09-11,"hip hop, reggae, cumbia"
Tigrada,Album,Quitapenas,2019-08-09,"salsa, cumbia, soukous, champeta"
Sabor Panameño,Album,Puerto Rico,1973,"latin, cumbia, guaracha, guajira"
Superbailables,Album,Grupo Mamduko,1990,"salsa, latin, merengue, cumbia"
"Música tropical de Colombia, vol. 2: 20 grandes éxitos",Album,Various Artists,1990,"latin, merengue, cumbia, porro"
Supermeng,Album,Los Chavos,2012-11-02,"ska, reggae, latin, cumbia"
Best Woman,Album,Vincent Ahehehinnou,2017-04-20,"afrobeat, cumbia, afro-funk"
El camaleón,EP,Chico Novarro,1963,"pop, latin, merengue, cumbia"
El gran cacique,Album,Juaneco y su Combo,1970,"psychedelic, latin, cumbia, guaracha"
Hasta agotar stock!,Album,Tio Gasheta,2011-07-21,"ska, swing, cumbia, milonga"
Fiebre,Album,Dany F,2017-03-30,"electronic, cumbia, kuduro, champeta"
Aquí Los Bravos! The Best of Michi Sarmiento y su Combo Bravo 1967-77,Album,Michi Sarmiento y su Combo Bravo,2011-04-25,"latin, cumbia, descarga, guaguancó"
The Lost Cuban Trios of Casa Marina,Album,Various Artists,2010-08-17,"latin, cumbia, bolero, ranchera"
Abya Yala,Album,Combo Chimbita,2017-06-21,"rock, punk, psychedelic, cumbia"
Resurrection Los,EP,Los Camaroes,2017-09-18,"afrobeat, cumbia, soukous, makossa"
Ricarda Cometa 2,Album,Ricarda Cometa,2018-06-01,"noise, experimental, latin, cumbia"
More Madhur & Morgana,Other,The Phantom Four,2013-06-14,"rock, instrumental, afrobeat, cumbia"
En orbita,Album,Los Destellos,1969,"boogaloo, guajira, cumbia peruana"
Desesperanza,Album,Meridian Brothers,2012-09-24,"cumbia, colombian experimental tropical"
Lo esencial de las estrellas de La hora azul,Album,Various Artists,2008,"latin, cumbia, bolero, danzón"
El campeón,Album,Joe Arroyo y La Verdad,1982,"salsa, latin, cumbia, guaracha"
The Rough Guide to Cumbia,Album,Various Artists,2013-02-26,"latin, rough guide, cumbia"
"Angola Soundtrack 2: Hypnosis, Distortion & Other Sonic Innovations 1969-1978",Album,Various Artists,2013-12-09,"latin, afrobeat, merengue, cumbia"
Mi canoita,Album,Policarpo Calle y Su Conjunto,1978,"latin, merengue, cumbia, porro"
Misa de Gallo,Single,La Sonora San Francisco,2015-06-09,"electronic, electronica, latin, cumbia"
Exótica,EP,Vate,2014-11-18,"electronic, ambient, electro, cumbia"
Corcorico,EP,Les Fines Pôlettes,2012-04-15,"funk, latin, afrobeat, cumbia"
Cum Cumbele,Album,Michi Sarmiento y su Combo Bravo,1970,"latin, cumbia, descarga, guaguancó"
Aconcagua,Album,Sistema Beat Andino,2015-09-15,"dub, latin, folktronica, cumbia"
Sakala Mois,EP,Royal Highness,2013-03-07,"latin, cumbia, kuduro, trap"
Cumbia Beat Vol. 2 (Experimental Guitar-Driven Tropical Sounds From Perú 1966/1983),Album,Various Artists,2012,"psychedelic, latin, cumbia, guaracha"
Rain,EP,Matías Aguayo,2018-11-23,"electronic, house, techno, cumbia"
La porra caimanera,Album,Policarpo Calle y Su Conjunto,1979,"latin, cumbia, porro, guaguancó"
La negra candelosa,Album,Policarpo Calle y los Tremendos,1978,"latin, cumbia, vallenato, porro"
Tributaries: A Remix Album,Album,El Búho,2018-11-09,"electronic, electronica, folktronica, cumbia"
La amenaza musical,Album,Grupo Sabotaje,1982,"salsa, latin, cumbia, guaguancó"
Echando un pie sin complejos,Album,Los Satélites,1974,"salsa, latin, cumbia, bolero"
Cumbia Libertad: A Digital Cumbia Compilation,Album,Various Artists,2016-05-16,"electronic, electro, latin, cumbia"
Culebra Coral,Single,M.A.K.U. Soundsystem,2019-11-22,"dance, reggae, latin, cumbia"
De sur a norte,Album,Los Vásquez,2014,"pop, ballad, latin, cumbia"
jingle django es un colectivo internacional de música callejera. esto es el disco de jingle django,Album,jingle django,2013-12-13,"swing, klezmer, rumba, cumbia"
A todo tren,Album,Los Diablos Rojos,,"salsa, latin, cumbia, guaracha"
Unexpected,Single,Qechuaboi,2017-12-07,"electronic, dance, latin, cumbia"
Menu,Single,Qechuaboi,2012-07,"electronic, dance, latin, cumbia"
Pour Me a Grog: The Funaná Revolt in 1990s Cabo Verde,Album,Various Artists,2019-10-14,"dance, latin, cumbia, funaná"
Las coronelas,Album,Steve Jordan,1987,"polka, latin, cumbia, ranchera"
Afritanga: The Sound of Afrocolombia,Album,Various Artists,2011,"salsa, zouk, latin, cumbia"
En estos días,Album,Regulo Caro,2016-10-07,"latin, cumbia, ranchera, corrido"
En Orbita EP,EP,Superpendejos,2018-11-18,"electronic, house, latin, cumbia"
EP2,EP,Gypsy Ska Orquesta,2015-09-03,"punk, ska, swing, cumbia"
Voces Caribes,Album,Francisco Zumaqué,1993,"pop, ballad, latin, cumbia"
¡Gózalo! Bugalú Tropical Vol.4,Album,Various Artists,2011,"salsa, latin, cumbia, mambo"
Japan Years Volume III,EP,Dolomites,2015-10-10,"electronic, punk rock, cumbia"
Cavalier Noir,Album,Le Bal Chaloupé,2020-04-24,"jazz, latin, cumbia, kuduro"
"Straight from the Decks, Vol. 2",Album,Guts,2021-04-02,"reggae, zouk, latin, cumbia"
Genero genero,Album,El Hijo de la Cumbia,2018-04-20,"reggae, dub, latin, cumbia"
Bichote-k bailable vol. 1,Album,Various Artists,2019-09-23,"electronic, techno, latin, cumbia"
Mal agradecido / Guaba,Single,Gladys Santos,1984,"salsa, latin, cumbia, guaguancó"
Tropikal Passport,Album,El Flecha Negra,2017-12-01,"reggae, fusion, latin, cumbia"
La cumbia del Chinche / El Boleta,Single,Candeleros,2018-12-17,"fusion, psychedelic, merengue, cumbia"
Tierra De King Coya,Album,King Coya,2018-06-15,"electronic, dubstep, latin, cumbia"
Dub de Gaita (El fin del mundo) vol II & III,Album,Gaiteros de San Jacinto,2017-02-24,"electronic, dub, cumbia, porro"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
on s'appelle,Album,jingle django,2016-03-21,"swing, klezmer, rumba, cumbia"
Todo junto se escribe separado,Single,Qechuaboi,2015-06-06,"electronic, dance, latin, cumbia"
Space in Time / Time in Space,Album,Dreckig,2018-02-20,"rock, electronic, club, cumbia"
La Locura de Machuca 1975-1980,Album,Various Artists,2020-10-12,"psychedelic, afrobeat, cumbia, champeta"
Club Redy,Album,Chico Sonido,2017-04-14,"latin, reggaeton, cumbia, trap"
La Maltratada,Single,La Dame Blanche,2020-09-11,"hip hop, reggae, cumbia"
¡Tremendo Ritmo!,Album,Los Orientales de Paramonga,1973,"psychedelic, latin, cumbia, guaracha"
Pour Me a Grog: The Funaná Revolt in 1990s Cabo Verde,Album,Various Artists,2019-10-14,"dance, latin, cumbia, funaná"
Anakena,Album,Anakena,2019-10-04,"reggae, latin, cumbia, bachata"
¡Gózalo! Bugalú Tropical Vol.4,Album,Various Artists,2011,"salsa, latin, cumbia, mambo"
Yemaya,Single,Mexican Institute of Sound,2020-06-26,"electronic, electronica, latin, cumbia"
Japan Years Volume III,EP,Dolomites,2015-10-10,"electronic, punk rock, cumbia"
Tropical Florida,Album,Tropical Florida,1975,"pop, latin, cumbia, bolero"
Mister Boogaloo,Album,Toño y sus Sicodélicos,1968,"salsa, latin, cumbia, guaguancó"
LA HISTORIA DEL BOXEO,Album,jingle django,2019-12-06,"swing, klezmer, rumba, cumbia"
Tengo un sueño qe no me deja dormir,Single,Qechuaboi,2015-12-30,"electronic, dance, latin, cumbia"
Unexpected,Single,Qechuaboi,2017-12-07,"electronic, dance, latin, cumbia"
Menu,Single,Qechuaboi,2012-07,"electronic, dance, latin, cumbia"
Cumbia Libertad: A Digital Cumbia Compilation,Album,Various Artists,2016-05-16,"electronic, electro, latin, cumbia"
Chineke Me,Single,Sonikgroove,2017-05-31,"dub, latin, folktronica, cumbia"
Tirense con la escoba,Album,Los Mirlos,1976,"psychedelic, salsa, latin, cumbia"
Folcore 103 - Selected by Qechuaboi,Album,Qechuaboi,2019-01-31,"dub, latin, cumbia, moombahton"
Club Redy,Album,Chico Sonido,2017-04-14,"latin, reggaeton, cumbia, trap"
Tropical Pressure Compilation,Album,Various Artists,2020-07-03,"reggae, dub, afrobeat, cumbia"
Batea,Album,Bejuco,2021-02-19,"electronic, dub, afrobeat, cumbia"
Bichote-k bailable vol. 1,Album,Various Artists,2019-09-23,"electronic, techno, latin, cumbia"
Something Sign,Single,Juan Diego Illescas,2020-01-27,"electronic, folk, electronica, cumbia"
Bichote-k bailable vol. 2,Album,Various Artists,2020-11-20,"electronic, techno, latin, cumbia"
Pura sangre,Album,Bronco,1993-11-02,"ballad, latin, cumbia, norteño"
The Rough Guide to Peru Rare Groove,Album,Various Artists,2016-06-24,"psychedelic, salsa, latin, cumbia, mambo, descarga, boogaloo, guajira, cumbia peruana"
Fuego,Album,A.B. Quintanilla III,2004-10-05,"folk, latin pop, latin, cumbia"
Ska Cubano,Album,Ska Cubano,2004-03-15,"ska, reggae, world, latin, cumbia"
Loteria de la Cumbia Lounge,Album,Charanga Cakewalk,2004-10-05,"rock, world, latin, cumbia, tejano"
Pochy y su Cocoband,Album,Pochy y su Cocoband,1995,"salsa, latin, merengue, cumbia, soca"
Босоногий мальчик,Album,Леонид Агутин,1994,"pop, reggae, salsa, latin, cumbia"
The Roots of Chicha: Psychedelic Cumbias From Peru,Album,Various Artists,2007-09-25,"psychedelic rock, peru, cumbia peruana"
Luaka Bop: The Sound of Sound,Album,Various Artists,2007,"mpb, funk, soul, latin, cumbia"
Soy sauce,Album,Mexican Institute of Sound,2009-04-07,"electronic, hip hop, latin, cumbia"
El padrino,Album,Fulanito,1999-09-15,"pop, latin, merengue, cumbia, tejano"
Cartagena! Curro Fuentes and the Big Band Cumbia and Descarga Sound of Colombia 1962-72,Album,Various Artists,2011-03-07,"salsa, latin, cumbia, descarga, guaguancó"
Systema Solar,Album,Systema Solar,2009,"electronic, electro, breakbeat, latin, cumbia"
Follow Me,Album,Yerba Buena,2007-06-25,"electronic, hip hop, latin, cumbia"
No me hallo,Album,El Personal,1988,"rock, reggae, latin, cumbia, bolero"
Trocitos de madera,Single,La Yegros,2009-08-29,"electronic, dubstep, house, latin, cumbia"
"Boombahchero, Volume 2",Album,DJ Orion,2012,"salsa, latin, cumbia, baltimore club"
Cumbia salvaje,Album,Sonido Gallo Negro,2011,"rock, garage rock, latin, cumbia"
Musa original,Album,Joe Arroyo y La Verdad,1986,"salsa, latin, cumbia, compas, guaracha"
Salsa y montuno,Album,Los Nemus del Pacífico,1997,"salsa, latin, cumbia, son montuno"
Político,Album,Mexican Institute of Sound,2012-05-12,"hip hop, latin, podcast, cumbia"
"Pirata, Vol. 1",Album,Alfredo Casero,1999,"comedy, latin, non-music, cumbia"
Canta y no llores,Album,Kumbia Queers,2015-06-01,"electronic, punk rock, latin, cumbia"
4,Album,A.B. Quintanilla III,2003-02-25,"r b, latin, cumbia, r&b"
La frekuencia EP,EP,Paco Mendoza,2014-04-03,"electronic, dance, latin, club, cumbia"
The Skeletal Essences of Afro Funk 1969-1980,Album,Orchestre Poly-Rythmo,2013-05-03,"funk, psychedelic, latin, afrobeat, cumbia"
Mondomix Experience,Album,Various Artists,2008-03,"jazz, mpb, samba, latin, cumbia"
Bersa Discos #5,EP,Various Artists,2009-05-05,"electronic, hip hop, latin, cumbia"
1804 KIDS,Album,Kelman Duran,2017-08-04,"electronic, reggae, latin, dancehall, cumbia"
Skulltura Pt1,Album,Deela,2016-07-15,"electronic, hip hop, reggaeton, cumbia"
Balance,Album,El Búho,2017-11-01,"electronic, downtempo, electronica, latin, cumbia"
"¡Gózalo! Bugalú tropical, volume 3",Album,Various Artists,2009,"salsa, latin, cumbia, pachanga, descarga"
Trompeteros,Album,Sonora Casino,1972,"psychedelic, latin, cumbia, descarga, guaracha"
Buenaventura,Album,La Santa Cecilia,2015-12-18,"bossa nova, latin, mariachi, cumbia"
Boxeo Constitución,Album,El Remolón,2013-04-01,"electronic, house, dub, latin, cumbia"
Full Monty EP,EP,Full Monty,2014-12-16,"punk, ska, folk rock, cumbia"
Mousy EP,EP,Full Monty,2015-10-14,"punk, ska, folk rock, cumbia"
